Clase,Clave,Tema,Subdivición.,,,,
4020,A,Matemáticas,Análisis - Funciones algebraicas y sus integrales - Funciones algebraicas de varias variables.,,,,
4030,A,Matemáticas,"Análisis - Funciones algebraicas y sus integrales - Funciones logarítmicas, circulares, exponenciales",,,,
4040,A,Matemáticas,"Análisis -Funciones algebraicas y sus integrales - Propiedades generales de las funciones elípticas y de las funciones theta simples; adición - teorema. (Ver también 8050, 8060.)",,,,
4050,A,Matemáticas,"Análisis-Funciones algebraicas y sus integrales - Multiplicación, división, transformación de funciones elípticas; funciones modulares. (Ver también 4440. )",,,,
4060,A,Matemáticas,"Análisis - Funciones algebraicas y sus integrales - Integrales abelianas. (Ver también 8050, 8060. )",,,,
4070,A,Matemáticas,Análisis - Funciones algebraicas y sus integrales - Funciones periódicas de varias variables; funciones theta generales.,,,,
4400,A,Matemáticas,Análisis - Otras funciones especiales - Generalidades.,,,,
4410,A,Matemáticas,Análisis - Otras funciones especiales - Funciones eulerianas,,,,
4420,A,Matemáticas,Análisis - Otras funciones especiales - Funciones de Legendre; funciones de Bessel; funciones de hipergeometría,,,,
4430,A,Matemáticas,Análisis-Otras funciones especiales-Otras funciones que pueden ser definidas por integrales definidas. (Ver también 4860. ),,,,
4440,A,Matemáticas,Análisis-Otras funciones especiales-Otras funciones que pueden ser definidas por integrales definidas.(Ver también 4860.),,,,
4450,A,Matemáticas,Análisis-Otras funciones especiales-Otras funciones que pueden definirse mediante ecuaciones diferenciales lineales. (Véase también 4850. ),,,,
4460,A,Matemáticas,Análisis - Otras funciones especiales - Otras funciones que pueden definirse mediante ecuaciones funcionales. (Véase también 6030. ),,,,
4800,A,Matemáticas,Análisis - Ecuaciones diferenciales - Generalidades.,,,,
4810,A,Matemáticas,Análisis - Ecuaciones diferenciales - Teoremas de existencia para ecuaciones diferenciales ordinarias y parciales.,,,,
4820,A,Matemáticas,Análisis - Ecuaciones diferenciales - Métodos de solución y reducción de ecuaciones diferenciales ordinarias.,,,,
4830,A,Matemáticas,"Análisis - Ecuaciones diferenciales - Métodos de solución y reducción de ecuaciones diferenciales parciales de primer orden, incluyendo las ecuaciones diferenciales de la dinámica teórica.",,,,
4840,A,Matemáticas,Análisis - Ecuaciones diferenciales - Métodos de solución y reducción de ecuaciones diferenciales parciales de segundo y mayor orden.,,,,
4850,A,Matemáticas,Análisis - Ecuaciones diferenciales - Teoría general de las ecuaciones lineales ordinarias. (Ver también 4450. ),,,,
4860,A,Matemáticas,Análisis - Ecuaciones diferenciales - Integración de ecuaciones lineales ordinarias por integrales definidas. (Ver también 4430. ),,,,
4870,A,Matemáticas,"Análisis - Ecuaciones diferenciales - Teoría general de las ecuaciones ordinarias, no lineales, de primer orden",,,,
4880,A,Matemáticas,"Análisis - Ecuaciones diferenciales - Teoría general de las ecuaciones ordinarias, no lineales, de orden superior al primero.",,,,
5200,A,Matemáticas,Análisis - Formas diferenciales e invariantes diferenciales - Generalidades.,,,,
5210,A,Matemáticas,Análisis -Formas diferenciales e invariantes diferenciales -Formas diferenciales lineales; pfaffianos.,,,,
5220,A,Matemáticas,Análisis-Formas diferenciales e invariantes diferenciales-Formas diferenciales de segundo orden y superiores. (Véase también 8450. ),,,,
5230,A,Matemáticas,"Análisis - Formas diferenciales e invariantes diferenciales - Transformación de formas diferenciales, incluyendo transformaciones tangenciales (o de contacto).",,,,
5240,A,Matemáticas,Análisis - Formas diferenciales e invariantes diferenciales - Invariantes diferenciales. (Véase también 1230. 1240. ),,,,
5600,A,Matemáticas,Análisis - Métodos analíticos relacionados con problemas físicos - Generalidades. (Véase también B 2000 - 2100. 3220. ),,,,
5610,A,Matemáticas,Análisis - Métodos analíticos relacionados con problemas físicos - Análisis armónico: Series de Fourier. (Ver también 3220. ),,,,
5620,A,Matemáticas,Análisis - Métodos analíticos relacionados con problemas físicos - Análisis armónico; series distintas a la de Fourier(Ver también 3220. ),,,,
5630,A,Matemáticas,Análisis - Métodos analíticos relacionados con problemas físicos - Generalidades sobre las ecuaciones diferenciales de la física matemática. (Ver también B 2020. ),,,,
5640,A,Matemáticas,Análisis - Métodos analíticos relacionados con problemas físicos - Integración de las ecuaciones diferenciales de la física matemática por series.,,,,
5650,A,Matemáticas,Análisis - Métodos analíticos relacionados con problemas físicos - Integración de las ecuaciones diferenciales de la física matemática por integrales definidas,,,,
5660,A,Matemáticas,"Análisis - Métodos analíticos relacionados con problemas físicos - Problema de Dirichlet y problemas análogos, afectados por condiciones de contorno.",,,,
6000,A,Matemáticas,Análisis - Ecuaciones de diferencia y ecuaciones funcionales - Generalidades.,,,,
6010,A,Matemáticas,Análisis - Ecuaciones en diferencia y ecuaciones funcionales - Series recurrentes.,,,,
6020,A,Matemáticas,Análisis - Ecuaciones en diferencias y ecuaciones funcionales - Solución de ecuaciones de diferencias finitas.,,,,
6030,A,Matemáticas,Análisis - Ecuaciones en diferencias y ecuaciones funcionales - Solución de ecuaciones funcionales. (Ver también 4460. ),,,,
6400,A,Matemáticas,Geometría-Fundamentos.Generalidades.,,,,
6410,A,Matemáticas,Geometría-Fundamentos.Principios de Geometría; Geometrías no euclidianas; hiperespacio.,,,,
6420,A,Matemáticas,Geometría-Fundamentos.Topología del espacio e hiperespacio.,,,,
6430,A,Matemáticas,Geometría-Fundamentos.Métodos de Geometría analítica. (Ver también 0840. ),,,,
6800,A,Matemáticas,Geometría - Geometría elemental - Generalidades.,,,,
6810,A,Matemáticas,Geometría - Geometría elemental - Planimetría; líneas rectas y círculos.,,,,
6820,A,Matemáticas,"Geometría - Geometría elemental - Estereometría; rectas, planos y esferas.",,,,
6830,A,Matemáticas,Geometría - Geometría elemental - Trigonometría.,,,,
6840,A,Matemáticas,Geometría - Geometría elemental - Geometría descriptiva; perspectiva.,,,,
7200,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Generalidades.,,,,
7210,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Propiedades métricas de las cónicas.,,,,
7220,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Propiedades proyectivas de las cónicas,,,,
7230,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Sistemas de cónicas. (Véase también 8070. ),,,,
7240,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Propiedades métricas de las superficies cuádricas.,,,,
7250,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Propiedades proyectivas de las superficies cuádricas,,,,
7260,A,Matemáticas,Geometría - Geometría de cónicas y cuádricas - Sistemas de superficies cuádricas. (Véase también 8070. ),,,,
7600,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Generalidades.,,,,
7610,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Propiedades métricas de las curvas planas algebraicas de grado superior al segundo.,,,,
7620,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Propiedades proyectivas de las curvas planas algebraicas de grado superior al segundo. (Ver también 8030. ),,,,
7630,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Curvas algebraicas planas especiales,,,,
7640,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Superficies algebraicas de grado superior al segundo. (Ver también 8040. ),,,,
7650,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Superficies algebraicas especiales.,,,,
7660,A,Matemáticas,Geometría - Curvas y superficies algebraicas de grado superior al segundo - Curvas algebraicas oblicuas. (Ver también 8030. ),,,,
8000,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas-Generalidades.,,,,
8010,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Colineación; dualidad,,,,
8020,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Otras transformaciones algebraicas,,,,
8030,A,Matemáticas,"Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Grupos de puntos en una curva algebraica; género de las curvas; principio de correspondencia. (Ver también 7620, 7660. )",,,,
8040,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Grupos de curvas y puntos en una superficie algebraica; género de las superficies. (Véase también 7640. ),,,,
8050,A,Matemáticas,"Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Aplicación de funciones trascendentales a curvas algebraicas. (Ver también 4010, 4060. )",,,,
8060,A,Matemáticas,"Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Aplicación de funciones trascendentales a superficies algebraicas. (Ver también 4040, 4060.)",,,,
8070,A,Matemáticas,"Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Geometría numérica. (Ver también 7230, 7260. )",,,,
8080,A,Matemáticas,"Geometría- Transformaciones y métodos generales para configuraciones algebraicas-Anexos, complejos, congruencias; elementos superiores del espacio.",,,,
8090,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Sistemas (lineales y no lineales) de curvas y superficies.,,,,
8100,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Configuraciones algebraicas en el hiperespacio.,,,,
8400,A,Matemáticas,Geometría- Transformaciones y métodos generales para configuraciones algebraicas - Configuraciones algebraicas en el hiperespacio.,,,,
8410,A,Matemáticas,Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Principios de la Geometría infinitesimal.,,,,
8420,A,Matemáticas,Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Geometría Cinemática.,,,,
8430,A,Matemáticas,Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Geometría Cinemática.,,,,
8440,A,Matemáticas,Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Curvatura de curvas oblicuas; otras aplicaciones del cálculo diferencial a las curvas oblicuas.,,,,
8450,A,Matemáticas,"Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Curvatura de superficies; coordenadas curvilíneas, y otras aplicaciones del cálculo diferencial a superficies. (Véase también 5220.)",,,,
8470,A,Matemáticas,Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Curvas trascendentales especiales.,,,,
8480,A,Matemáticas,Geometría- Geometría Infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Superficies trascendentales especiales.,,,,
8490,A,Matemáticas,Geometría- Geometría infinitesimal; aplicaciones del Cálculo Diferencial e Integral a la Geometría - Configuraciones hipergeométricas y elementos superiores del hiperespacio.,,,,
8800,A,Matemáticas,Geometría Diferencial; aplicaciones de las -Ecuaciones Diferenciales a la Geometría- Generalidades,,,,
8810,A,Matemáticas,Geometría diferencial; aplicaciones de las ecuaciones diferenciales - ecuaciones diferenciales a la Geometría - Determinación de curvas en superficies.,,,,
8820,A,Matemáticas,Geometría diferencial; aplicaciones de las ecuaciones diferenciales - Ecuaciones a la Geometría - Superficies mínimas,,,,
8830,A,Matemáticas,Geometría diferencial; aplicaciones de las ecuaciones diferenciales a la Geometría - Ecuaciones diferenciales a la Geometría - Superficies determinadas por relaciones de curvatura y por otras propiedades diferenciales.,,,,
8840,A,Matemáticas,"Geometría diferencial; aplicaciones de las ecuaciones diferenciales a la Geometría - Ecuaciones a la Geometría - Representaciones conformes y otras representaciones de superficies sobre otras (referencia cruzada con Geografía Matemática, J 70 - 95).",,,,
8850,A,Matemáticas,Geometría diferencial; aplicaciones de las ecuaciones diferenciales a la Geometría.-Ecuaciones diferenciales a la Geometría.- Deformación de superficies.,,,,
8860,A,Matemáticas,Geometría diferencial; aplicaciones de las ecuaciones diferenciales a la Geometría -Ecuaciones Diferenciales a la Geometría - Superficies ortogonales e isotérmicas.,,,,
8870,A,Matemáticas,Geometría diferencial; aplicaciones de las ecuaciones diferenciales a la Geometría-Configuraciones hipergeométricas y elementos superiores del hiperespacio,,,,
100,B,Mecánica,Medición de cantidades dinámicas- Generalidades.,,,,
110,B,Mecánica,Medición de cantidades dinámicas: unidades y dimensiones,,,,
120,B,Mecánica,"Medición de cantidades dinámicas- Medición de longitudes, áreas, volúmenes, ángulos",,,,
130,B,Mecánica,Medición de cantidades dinámicas- Medición de la masa y la densidad,,,,
140,B,Mecánica,Medición de cantidades dinámicas: valores numéricos de las densidades. (Véase también D 7100.),,,,
150,B,Mecánica,Medición de cantidades dinámicas: Medición del tiempo; cronómetros. (Véase también E2100.),,,,
160,B,Mecánica,"Medición de cantidades dinámicas: medición de la velocidad, la aceleración y la energía del movimiento visible.",,,,
170,B,Mecánica,"Medición de magnitudes dinámicas-Medición de la fuerza: péndulo, balanza de muelle, balanza de torsión, etc. (Véase también E 5100.)",,,,
180,B,Mecánica,"Medición de cantidades dinámicas: la constante de gravitación. (Véase también E 1050, 5100 ; J 10.)",,,,
400,B,Mecánica,Geometría y Cinemática de Partículas y Cuerpos Sólidos -Generalidades.,,,,
410,B,Mecánica,Geometría y Cinemática de las Partículas y los Cuerpos Sólidos - Geometría de las masas; momentos de inercia.,,,,
420,B,Mecánica,"Geometría y Cinemática de las Partículas y los Cuerpos Sólidos - Cinemática abstracta, incluyendo la composición de los movimientos y de los desplazamientos, los movimientos relativos, los ejes en movimiento ; teoría de los tornillos",,,,
430,B,Mecánica,Geometría y Cinemática de Partículas y Cuerpos Sólidos - Cinemática de Máquinas.,,,,
440,B,Mecánica,"Geometría y Cinemática de Partículas y Cuerpos Sólidos - Análisis de tensiones y deformaciones, infinitesimales y finitas.",,,,
800,B,Mecánica,Principios de la mecánica racional- Generalidades.,,,,
810,B,Mecánica,"Principios de la mecánica racional: espacio, tiempo y movimiento relativo. Discusiones críticas.",,,,
820,B,Mecánica,"Principios de la mecánica racional-Leyes y principios dinámicos. (Leyes del movimiento, del trabajo virtual, de la mínima acción, &c.).",,,,
1200,B,Mecánica,"Estática de las partículas, cuerpos rígidos, etc.-Generalidades.",,,,
1210,B,Mecánica,"Estática de partículas, cuerpos rígidos, etc.-Composición y resolución de fuerzas en un punto.",,,,
1220,B,Mecánica,"Estática de las partículas, cuerpos rígidos, etc.-Atracciones. Teoría del potencial.",,,,
1230,B,Mecánica,"Estática de las partículas, cuerpos rígidos, etc.-Atracciones de sistemas especiales. Elipsoides, etc.",,,,
1240,B,Mecánica,"Estática de partículas, cuerpos rígidos, etc.-Estática de un cuerpo rígido y de un sistema de cuerpos rígidos. Estática",,,,
1250,B,Mecánica,"Estática de partículas, cuerpos rígidos, etc.-Estática de estructuras articuladas; métodos gráficos.",,,,
1260,B,Mecánica,"Estática de partículas, cuerpos rígidos, etc.-Estática de cadenas y superficies flexibles.",,,,
1270,B,Mecánica,"Estática de las partículas, cuerpos rígidos, etc.-Estabilidad del equilibrio.",,,,
1600,B,Mecánica,"Cinética de partículas, cuerpos rígidos, etc.- Generalidades.",,,,
1610,B,Mecánica,"Cinética de las partículas, cuerpos rígidos, etc.- Cinética de las partículas; órbitas, movimiento restringido, medios resistentes.",,,,
1620,B,Mecánica,"Cinética de las partículas, cuerpos rígidos, etc.- Cinética de los cuerpos rígidos (incluidos los impulsos, los movimientos iniciales derivados de la eliminación de la restricción).",,,,
1630,B,Mecánica,"Cinética de partículas, cuerpos rígidos, etc - Cinética de cadenas y superficies flexibles.",,,,
1640,B,Mecánica,"Cinética de las partículas, cuerpos rígidos, etc.- Sistemas especiales; péndulo, peonza, giroscopio, bicicleta, reguladores. Balística. (Véase también 2860.)",,,,
2000,B,Mecánica,Mecánica Analítica General  -Generalidades.,,,,
2010,B,Mecánica,Mecánica Analítica General  -Energía cinética y potencial.,,,,
2020,B,Mecánica,Mecánica Analítica General  -Formas de las ecuaciones diferenciales (incluyendo sistemas dis[1]sipativos). (Véase también A 5630.),,,,
2030,B,Mecánica,Mecánica Analítica General  -Aplicaciones de la primera variación de integrales; las ecuaciones diferenciales parciales.-Formas de las ecuaciones diferenciales (incluyendo los sistemas disipativos).(Véase también A 5630.,,,,
2040,B,Mecánica,"Mecánica Analítica General  -Equivalencia de problemas dinámicos, analogías dinámicas, modelos.",,,,
2050,B,Mecánica,Mecánica Analítica General  - Sistemas cíclicos ; autoequivalencia.,,,,
2060,B,Mecánica,"Mecánica Analítica General  - Propiedades de las integrales, relaciones recíprocas, soluciones periódicas.",,,,
2070,B,Mecánica,Mecánica Analítica General  - Métodos para la determinación real de integrales exactas.,,,,
2080,B,Mecánica,Mecánica Analítica General  - Métodos aproximados.,,,,
2090,B,Mecánica,Mecánica Analítica General  - Oscilaciones y movimientos iniciales alrededor de un estado de equilibrio.,,,,
2100,B,Mecánica,Mecánica Analítica General  - Oscilaciones alrededor de un estado de movimiento; estabilidad e inestabilidad; focos cinéticos.,,,,
2400,B,Mecánica,Estática y Dinámica de Fluidos - Generalidades.,,,,
2410,B,Mecánica,Estática y dinámica de los fluidos - Estática de los fluidos.,,,,
2420,B,Mecánica,Estática y Dinámica de Fluidos - Estabilidad de cuerpos flotantes. Oscilaciones de cuerpos flotantes.,,,,
2430,B,Mecánica,Estática y dinámica de los fluidos - Cinemática de los fluidos. Movimientos irrotacionales. Fuentes y sumideros.,,,,
2440,B,Mecánica,Estática y Dinámica de los Fluidos - Movimiento de cuerpos sólidos en fluidos perfectos.,,,,
2450,B,Mecánica,Estática y dinámica de los fluidos. Átomos de vórtice. (Véase también C 0500.),,,,
2460,B,Mecánica,Estática y Dinámica de Fluidos - Superficies libres y superficies de discontinuidad. Jets,,,,
3200,B,Mecánica,Elasticidad.-Generalidades.,,,,
3210,B,Mecánica,Elasticidad -Deformación y tensión. Relaciones tensión - deformación. Energía de deformación. AEolotropía. Cristales. (Ver también (G) Cristalografía; y C 0400.),,,,
3220,B,Mecánica,Elasticidad -Ecuaciones de deformación y movimiento elástico. Soluciones generales. Soluciones especiales. Vibraciones. (Véase también C 9100.),,,,
3230,B,Mecánica,Elasticidad -Torsión y flexión de prismas.,,,,
3240,B,Mecánica,Elasticidad -Varillas y alambres elásticos; muelles.,,,,
3250,B,Mecánica,Elasticidad -Placas y cáscaras elásticas.,,,,
3260,B,Mecánica,Elasticidad -Impacto y rebote; cargas de desplazamiento.,,,,
3270,B,Mecánica,Elasticidad-Estabilidad de los sistemas elásticos.,,,,
3280,B,Mecánica,"Elasticidad -Principios de construcción, incluyendo fórmulas aproximadas para la resistencia de los materiales.",,,,
3290,B,Mecánica,Elasticidad -Determinación experimental de las constantes elásticas.,,,,
3600,B,Mecánica,"Resistencia de los materiales, Dureza, Fricción, Viscosidad, Lubricación - Generalidades",,,,
3610,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación -Límites de la elasticidad.",,,,
3620,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación.- Condiciones de fractura.",,,,
3630,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación.-Fatiga de la elasticidad.",,,,
3640,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación.- Dureza. Fricción entre sólidos; Abrasión.",,,,
3650,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación -Viscosidad, plasticidad, ductilidad, maleabilidad, etc.",,,,
3660,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación.-Presión de la tierra y la arena.",,,,
3670,B,Mecánica,"Resistencia de los materiales, dureza, fricción, viscosidad, lubricación -Lubricación",,,,
0015,G,Mineralogía,Pseudomorfos,,,,
0016,G,Mineralogía,Minerales Artificiales,,,,
0017,G,Mineralogía,Minerales en las rocas. (Ver también 15),,,,
0018,G,Mineralogía,"Mineralogía y Petrología Económica, Minas, Minerales, Materiales de construcción. (Véase también J 27.)",,,,
0019,G,Mineralogía,Piedras preciosas.,,,,
0030,G,Mineralogía,Mineralogía determinista,,,,
0031,G,Mineralogía,Física y morfológica.,,,,
0032,G,Mineralogía,Química. (Véase también D 6000-6500.),,,,
0040,G,Mineralogía,Nuevos nombres de minerales. (Véase también 0070.),,,,
0050,G,Mineralogía,"Mineralogía Descriptiva. (Lista alfabética de
Nombres).",,,,
0060,G,Mineralogía,Distribución geográfica.,,,,
0070,G,Mineralogía,Distribución geográfica - Meteoritos.,,,,
0071,G,Mineralogía,"Distribución geográfica - Estructura, etc.",,,,
0072,G,Mineralogía,Distribución geográfica - Minerales de,,,,
0073,G,Mineralogía,Distribución geográfica - Lista alfabética de,,,,
0080,G,Mineralogía,Petrología - Generalidades,,,,
0082,G,Mineralogía,Petrología - Rocas ígneas (ordenadas alfabéticamente).,,,,
0083,G,Mineralogía,Petrología - Rocas sedimentarias (incluidas las de origen orgánico o de origen químico). (Véase también H 28.),,,,
0084,G,Mineralogía,Petrología - Esquistos cristalinos y rocas metaraórficas,,,,
0085,G,Mineralogía,Petrología -  Rocas sin clasificar.,,,,
0087,G,Mineralogía,Petrología - Análisis (químico) de rocas. (Véase también D 6000-6500.),,,,
0100,G,Mineralogía,Cristalografía - Generalidades.,,,,
0105,G,Mineralogía,Cristalografía - Cristalografía geométrica y matemática - Generalidades. ,,,,
0110,G,Mineralogía,"Cristalografía - Cristalografía geométrica y matemática -  Simetría, sistemas, etc.",,,,
0120,G,Mineralogía,"Cristalografía - Cristalografía geométrica y matemática - Métodos de cálculo, fórmulas, notación, etc. ",,,,
0130,G,Mineralogía,Cristalografía - Cristalografía geométrica y matemática - Proyección y dibujo de cristales. ,,,,
0140,G,Mineralogía,Cristalografía - Cristalografía geométrica y matemática - Teorías de la estructura de los cristales (Véase también C 0400 ),,,,
0150,G,Mineralogía,Cristalografía - Cristalografía geométrica y matemática - Miscelánea. ,,,,
0200,G,Mineralogía,Cristalografía - Estructura cristalina y crecimiento - Generalidades. ,,,,
0210,G,Mineralogía,"Cristalografía - Estructura cristalina y crecimiento - Irregularidades en los cristales, variación de los ángulos, caras Caras, Carácter de las Caras.",,,,
0220,G,Mineralogía,"Cristalografía - Estructura cristalina y crecimiento - Hermanamiento, aviones planeadores, etc. Agrupación regular de Cristales.",,,,
0230,G,Mineralogía,"Cristalografía - Estructura cristalina y crecimiento - Pseudosimetría, incluyendo ""Anomalías ópticas"".",,,,
0240,G,Mineralogía,"Cristalografía - Estructura cristalina y crecimiento - Crecimiento de cristales, cristalitos, etc. Producción artificial de cristales.",,,,
0300,G,Mineralogía,Cristalografía - Cristalografía física (excluida la óptica) - Generalidades,,,,
0310,G,Mineralogía,"Cristalografía - Cristalografía física (excluida la óptica) - Cohesión, Elasticidad, Fisura, Dureza, etc. (Véase también B 3210.)",,,,
0320,G,Mineralogía,Cristalografía - Cristalografía física (excluida la óptica) - Grabado,,,,
0330,G,Mineralogía,Cristalografía - Cristalografía física (excluida la óptica) - Propiedades térmicas.,,,,
0340,G,Mineralogía,Cristalografía - Cristalografía física (excluida la óptica) - Propiedades eléctricas,,,,
0350,G,Mineralogía,Cristalografía - Cristalografía física (excluida la óptica) - Propiedades magnéticas.,,,,
0360,G,Mineralogía,Cristalografía - Cristalografía física (excluida la óptica) - Otras propiedades físicas,,,,
0400,G,Mineralogía,Cristalografía - Cristalografía óptica. - Generalidades,,,,
0410,G,Mineralogía,Cristalografía - Cristalografía óptica. - Absorción,,,,
0420,G,Mineralogía,Cristalografía - Cristalografía óptica. - Refracción y birrefringencia. (Véase también C 3830.),,,,
0430,G,Mineralogía,Cristalografía - Cristalografía óptica. - Polarización circular. (Véase también C 4000.),,,,
0440,G,Mineralogía,Cristalografía - Cristalografía óptica. - Otras propiedades ópticas,,,,
0500,G,Mineralogía,Cristalografía - Cristalografía química. - Generalidades,,,,
0510,G,Mineralogía,Cristalografía - Cristalografía química. - Isomorfismo,,,,
0520,G,Mineralogía,Cristalografía - Cristalografía química. - Polimorfismo,,,,
0530,G,Mineralogía,Cristalografía - Cristalografía química. - Morfotropía,,,,
0540,G,Mineralogía,"Cristalografía - Cristalografía química. - Estereoquímica, Activo Óptico y Compuesto Racémico",,,,
0600,G,Mineralogía,Cristalografía - Cristalografía determinativa. - Generalidades,,,,
0610,G,Mineralogía,Cristalografía - Cristalografía determinativa. - Mediciones goniométricas.,,,,
0620,G,Mineralogía,Cristalografía - Cristalografía determinativa. - Mediciones ópticas.,,,,
0630,G,Mineralogía,Cristalografía - Cristalografía determinativa. - Aparatos,,,,
0700,G,Mineralogía,"Cristalografía - Cristalografía descriptiva. Sustancias inorgánicas, excluyendo los minerales, ordenadas bajo fórmulas. (Véase también (D) Química).",,,,
0750,G,Mineralogía,"Cristalografía - Cristalografía descriptiva. Compuestos orgánicos, ordenados bajo fórmulas o agrupados, como en Química, en Hidrocarburos,
Ácidos, etc. (Véase también (D) Química.)",,,,
0000,J,Geografía,Filosofía ,,,,
0010,J,Geografía,Historia. Biografía.,,,,
0020,J,Geografía,"Publicaciones periódicas. Informes de instituciones,Sociedades, Congresos, etc.",,,,
0030,J,Geografía,"Tratados generales, libros de texto,Diccionarios, Obras Completas,
Tablas de cálculo, Atlas",,,,
0032,J,Geografía,Bibliografías,,,,
0040,J,Geografía,"Discursos, conferencias, etc., de carácter
carácter general.",,,,
0050,J,Geografía,Pedagogía,,,,
0060,J,Geografía,"Instituciones, Museos, Colecciones.",,,,
0070,J,Geografía,Nomenclatura.,,,,
0090,J,Geografía,"Métodos de investigación, equipamiento, 
Equipo de expedición, y más.",,,,
0001,J,Geografía,Geografía Física - Aspectos físicos del mundo - Generalidades. Entradas que tratan de la Geografía Física General de una región,,,,
0002,J,Geografía,"Geografía Física - Aspectos físicos del mundo - La Tierra en general. (Forma, tamaño,densidad, gravitación (véase también ? 0180, E 1050), distribución del calor, etc.).",,,,
0003,J,Geografía,"Geografía Física - Aspectos físicos del mundo - Superficie de la Tierra en general
(Distribución de la tierra y el agua, forma de los continentes y los mares).",,,,
0004,J,Geografía,Geografía Física - Aspectos físicos del mundo -  Evolución geográfica,,,,
0006,J,Geografía,Geografía Física - Aspectos físicos del mundo - Movimientos de la Tierra en general. (Véase también H 25.),,,,
0007,J,Geografía,Geografía Física - Aspectos físicos del mundo - Terremotos,,,,
0005,J,Geografía,Geografía Física - Aspectos físicos del mundo - Fenómenos volcánicos. (Véase también II 06.),,,,
0009,J,Geografía,"Geografía Física - Aspectos físicos del mundo - Elevación y depresión.
Cambios en la línea de costa.",,,,
0014,J,Geografía,Geografía Física - Aspectos físicos del mundo - Forma de la superficie.,,,,
0015,J,Geografía,Geografía Física - Aspectos físicos del mundo - Relieve terrestre.,,,,
0016,J,Geografía,Geografía Física - Aspectos físicos del mundo - Erosión,,,,
0017,J,Geografía,"Geografía Física - Aspectos físicos del mundo - Acción de la lluvia. Intemperie. Lluvia Fenómenos, etc. (Véase también H 14.)",,,,
0018,J,Geografía,Geografía Física - Aspectos físicos del mundo - Costas,,,,
0019,J,Geografía,"Geografía Física - Aspectos físicos del mundo -  Golfo, bahía y mares cerrados",,,,
0022,J,Geografía,Geografía Física - Aspectos físicos del mundo - Contornos submarinos.,,,,
0023,J,Geografía,Geografía Física - Aspectos físicos del mundo - Montañas,,,,
0024,J,Geografía,Geografía Física - Aspectos físicos del mundo - Llanuras,,,,
0025,J,Geografía,Geografía Física - Aspectos físicos del mundo - Dunas. Formaciones Eólicas. (Véase también H 13.),,,,
0026,J,Geografía,Geografía Física - Aspectos físicos del mundo - Valles,,,,
0028,J,Geografía,Geografía Física - Aspectos físicos del mundo - Fisuras. Cavernas,,,,
0029,J,Geografía,Geografía Física - Aspectos físicos del mundo - Islas,,,,
0031,J,Geografía,"Geografía Física - Aspectos físicos del mundo - Glaciares, incluyendo evidencias de antiguos glaciares.",,,,
0032,J,Geografía,Geografía Física - Aspectos físicos del mundo - Nevadas. Avalanchas.,,,,
0033,J,Geografía,Geografía Física - Aspectos físicos del mundo -  Tierra congelada.,,,,
